date,product_id,sales_amount,store_location
2024-02-17,PROD-1005,2456.87,Minneapolis
2024-02-17,PROD-1004,1823.43,Los Angeles
2024-02-18,PROD-1002,2612.74,Portland
2024-02-18,PROD-1001,1645.89,Chicago
2024-02-19,PROD-1002,2389.68,Austin
2024-02-19,PROD-1005,1867.34,Miami
2024-02-20,PROD-1004,2734.92,Las Vegas
2024-02-20,PROD-1002,1523.76,New York
2024-02-21,PROD-1001,2198.85,San Antonio
2024-02-21,PROD-1002,1879.46,Phoenix
2024-02-22,PROD-1005,2567.93,San Diego
2024-02-22,PROD-1004,1734.58,Seattle
2024-02-23,PROD-1002,2423.79,Atlanta
2024-02-23,PROD-1001,1645.92,Chicago
2024-02-24,PROD-1002,2789.64,Boston
2024-02-24,PROD-1005,1534.67,Los Angeles
2024-02-25,PROD-1004,2134.86,San Jose
2024-02-25,PROD-1002,1912.49,Miami
2024-02-26,PROD-1001,2689.57,Dallas
2024-02-26,PROD-1002,1598.73,New York
2024-02-27,PROD-1005,2456.84,Denver
2024-02-27,PROD-1004,1823.56,Houston
2024-02-28,PROD-1002,2612.91,Chicago
2024-02-28,PROD-1001,1645.68,Detroit
2024-02-29,PROD-1002,2389.76,Philadelphia
2024-02-29,PROD-1005,1867.42,Seattle
2024-03-01,PROD-1004,2734.89,Portland
2024-03-01,PROD-1002,1523.94,Minneapolis
2024-03-02,PROD-1001,2198.67,Boston
2024-03-02,PROD-1002,1879.38,Austin
2024-03-03,PROD-1005,2567.82,Los Angeles
2024-03-03,PROD-1004,1734.69,Las Vegas
2024-03-04,PROD-1002,2423.95,Miami
2024-03-04,PROD-1001,1645.78,San Antonio
2024-03-05,PROD-1002,2789.56,Phoenix
2024-03-05,PROD-1005,1534.83,Chicago
2024-03-06,PROD-1004,2134.92,San Diego
2024-03-06,PROD-1002,1912.47,New York
2024-03-07,PROD-1001,2689.64,Atlanta
2024-03-07,PROD-1002,1598.56,Seattle
2024-03-08,PROD-1005,2456.79,Boston
2024-03-08,PROD-1004,1823.68,San Jose
2024-03-09,PROD-1002,2612.85,Dallas
2024-03-09,PROD-1001,1645.93,Los Angeles
2024-03-10,PROD-1002,2389.74,Denver
2024-03-10,PROD-1005,1867.39,Miami
2024-03-11,PROD-1004,2734.86,Houston
2024-03-11,PROD-1002,1523.67,Chicago
2024-03-12,PROD-1001,2198.79,Philadelphia
2024-03-12,PROD-1002,1879.45,Detroit
2024-03-13,PROD-1005,2567.91,Portland
2024-03-13,PROD-1004,1734.58,New York
2024-03-14,PROD-1002,2423.82,Minneapolis
2024-03-14,PROD-1001,1645.69,Seattle
2024-03-15,PROD-1002,2789.63,Austin
2024-03-15,PROD-1005,1534.78,Boston
2024-03-16,PROD-1004,2134.87,Las Vegas
2024-03-16,PROD-1002,1912.46,Los Angeles
2024-03-17,PROD-1001,2689.58,San Antonio
2024-03-17,PROD-1002,1598.72,Chicago
2024-03-18,PROD-1005,2456.83,Phoenix
2024-03-18,PROD-1004,1823.54,Miami
2024-03-19,PROD-1002,2612.76,San Diego
2024-03-19,PROD-1001,1645.89,Atlanta
2024-03-20,PROD-1002,2389.67,New York
2024-03-20,PROD-1005,1867.43,Seattle
2024-03-21,PROD-1004,2734.94,Dallas
2024-03-21,PROD-1002,1523.68,Boston
2024-03-22,PROD-1001,2198.85,San Jose
2024-03-22,PROD-1002,1879.37,Denver
2024-03-23,PROD-1005,2567.84,Chicago
2024-03-23,PROD-1004,1734.69,Houston
2024-03-24,PROD-1002,2423.78,Los Angeles
2024-03-24,PROD-1001,1645.92,Philadelphia
2024-03-25,PROD-1002,2789.65,Detroit
2024-03-25,PROD-1005,1534.76,Miami
2024-03-26,PROD-1004,2134.89,Portland
2024-03-26,PROD-1002,1912.43,Minneapolis
2024-03-27,PROD-1001,2689.57,Austin
2024-03-27,PROD-1002,1598.68,New York
2024-03-28,PROD-1005,2456.91,Las Vegas
2024-03-28,PROD-1004,1823.56,Seattle
2024-03-29,PROD-1002,2612.83,San Antonio
2024-03-29,PROD-1001,1645.74,Chicago
2024-03-30,PROD-1002,2389.69,Phoenix
2024-03-30,PROD-1005,1867.38,Boston
2024-03-31,PROD-1004,2734.92,San Diego
2024-03-31,PROD-1002,1523.79,Los Angeles
2024-04-01,PROD-1001,2198.67,Atlanta
2024-04-01,PROD-1002,1879.46,Miami
2024-04-02,PROD-1005,2567.82,Dallas
2024-04-02,PROD-1004,1734.58,New York
2024-04-03,PROD-1002,2423.95,San Jose
2024-04-03,PROD-1001,1645.68,Denver
2024-04-04,PROD-1002,2789.56,Chicago
2024-04-04,PROD-1005,1534.83,Houston
2024-04-05,PROD-1004,2134.92,Seattle
2024-04-05,PROD-1002,1912.47,Philadelphia
2024-04-06,PROD-1001,2689.64,Detroit
2024-04-06,PROD-1002,1598.56,Boston
2024-04-07,PROD-1005,2456.79,Portland
2024-04-07,PROD-1004,1823.68,Minneapolis
2024-04-08,PROD-1002,2612.85,Los Angeles
2024-04-08,PROD-1001,1645.93,Austin
2024-04-09,PROD-1002,2389.74,Las Vegas
2024-04-09,PROD-1005,1867.39,Miami
2024-04-10,PROD-1004,2734.86,San Antonio
2024-04-10,PROD-1002,1523.67,Chicago
2024-04-11,PROD-1001,2198.79,Phoenix
2024-04-11,PROD-1002,1879.45,San Diego
2024-04-12,PROD-1005,2567.91,New York
2024-04-12,PROD-1004,1734.58,Seattle
2024-04-13,PROD-1002,2423.82,Atlanta
2024-04-13,PROD-1001,1645.69,Boston
2024-04-14,PROD-1002,2789.63,Dallas
2024-04-14,PROD-1005,1534.78,San Jose
2024-04-15,PROD-1004,2134.87,Chicago
2024-04-15,PROD-1002,1912.46,Denver
2024-04-16,PROD-1001,2689.58,Houston
2024-04-16,PROD-1002,1598.72,Los Angeles
2024-04-17,PROD-1005,2456.83,Philadelphia
2024-04-17,PROD-1004,1823.54,Detroit
2024-04-18,PROD-1002,2612.76,Miami
2024-04-18,PROD-1001,1645.89,Portland
2024-04-19,PROD-1002,2389.67,Minneapolis
2024-04-19,PROD-1005,1867.43,Austin
2024-04-20,PROD-1004,2734.94,New York
2024-04-20,PROD-1002,1523.68,Las Vegas
2024-04-21,PROD-1001,2198.85,Seattle
2024-04-21,PROD-1002,1879.37,San Antonio
2024-04-22,PROD-1005,2567.84,Boston
2024-04-22,PROD-1004,1734.69,Phoenix
2024-04-23,PROD-1002,2423.78,Chicago
2024-04-23,PROD-1001,1645.92,San Diego
2024-04-24,PROD-1002,2789.65,Atlanta
2024-04-24,PROD-1005,1534.76,Los Angeles
2024-04-25,PROD-1004,2134.89,San Jose
2024-04-25,PROD-1002,1912.43,Miami
2024-04-26,PROD-1001,2689.57,Dallas
2024-04-26,PROD-1002,1598.68,Denver
2024-04-27,PROD-1005,2456.91,Chicago
2024-04-27,PROD-1004,1823.56,Houston
2024-04-28,PROD-1002,2612.83,New York
2024-04-28,PROD-1001,1645.74,Seattle
2024-04-29,PROD-1002,2389.69,Philadelphia
2024-04-29,PROD-1005,1867.38,Detroit
2024-04-30,PROD-1004,2734.92,Portland
2024-04-30,PROD-1002,1523.79,Boston
2024-05-01,PROD-1001,2198.67,Minneapolis
2024-05-01,PROD-1002,1879.46,Austin
2024-05-02,PROD-1005,2567.82,Los Angeles
2024-05-02,PROD-1004,1734.58,Las Vegas
2024-05-03,PROD-1002,2423.95,Miami
2024-05-03,PROD-1001,1645.68,San Antonio
2024-05-04,PROD-1002,2789.56,Chicago
2024-05-04,PROD-1005,1534.83,Phoenix
2024-05-05,PROD-1004,2134.92,San Diego
2024-05-05,PROD-1002,1912.47,New York
2024-05-06,PROD-1001,2689.64,Atlanta
2024-05-06,PROD-1002,1598.56,Seattle
2024-05-07,PROD-1005,2456.79,Boston
2024-05-07,PROD-1004,1823.68,San Jose
2024-05-08,PROD-1002,2612.85,Dallas
2024-05-08,PROD-1001,1645.93,Denver
2024-05-09,PROD-1002,2389.74,Houston
2024-05-09,PROD-1005,1867.39,Chicago
2024-05-10,PROD-1004,2734.86,Los Angeles
2024-05-10,PROD-1002,1523.67,Philadelphia
2024-05-11,PROD-1001,2198.79,Detroit
2024-05-11,PROD-1002,1879.45,Miami
2024-05-12,PROD-1005,2567.91,Portland
2024-05-12,PROD-1004,1734.58,Minneapolis
2024-05-13,PROD-1002,2423.82,New York
2024-05-13,PROD-1001,1645.69,Austin
2024-05-14,PROD-1002,2789.63,Las Vegas
2024-05-14,PROD-1005,1534.78,Seattle
2024-05-15,PROD-1004,2134.87,San Antonio
2024-05-15,PROD-1002,1912.46,Boston
2024-05-16,PROD-1001,2689.58,Phoenix
2024-05-16,PROD-1002,1598.72,Chicago
2024-05-17,PROD-1005,2456.83,San Diego
2024-05-17,PROD-1004,1823.54,Los Angeles
2024-05-18,PROD-1002,2612.76,Atlanta
2024-05-18,PROD-1001,1645.89,Miami
2024-05-19,PROD-1003,2389.67,Dallas
2024-05-19,PROD-1005,1867.43,New York
2024-05-20,PROD-1004,2734.94,San Jose
2024-05-20,PROD-1002,1523.68,Seattle
2024-05-21,PROD-1001,2198.85,Denver
2024-05-21,PROD-1003,1879.37,Houston
2024-05-22,PROD-1005,2567.84,Chicago
2024-05-22,PROD-1004,1734.69,Philadelphia
2024-05-23,PROD-1002,2423.78,Detroit
2024-05-23,PROD-1001,1645.92,Boston
2024-05-24,PROD-1003,2789.65,Portland
2024-05-24,PROD-1005,1534.76,Minneapolis
2024-05-25,PROD-1004,2134.89,Los Angeles
2024-05-25,PROD-1002,1912.43,Austin
2024-05-26,PROD-1001,2689.57,Las Vegas
2024-05-26,PROD-1003,1598.68,Miami
2024-05-27,PROD-1005,2456.91,San Antonio
2024-05-27,PROD-1004,1823.56,New York
2024-05-28,PROD-1002,2612.83,Phoenix
2024-05-28,PROD-1001,1645.74,Chicago
2024-05-29,PROD-1003,2389.69,San Diego
2024-05-29,PROD-1005,1867.38,Seattle
2024-05-30,PROD-1004,2734.92,Atlanta
2024-05-30,PROD-1002,1523.79,Boston
2024-05-31,PROD-1001,2198.67,San Jose
2024-05-31,PROD-1003,1879.46,Dallas
2024-06-01,PROD-1005,2567.82,Denver
2024-06-01,PROD-1004,1734.58,Los Angeles
2024-06-02,PROD-1002,2423.95,Houston
2024-06-02,PROD-1001,1645.68,Chicago
2024-06-03,PROD-1003,2789.56,Philadelphia
2024-06-03,PROD-1005,1534.83,Miami
2024-06-04,PROD-1004,2134.92,Detroit
2024-06-04,PROD-1002,1912.47,New York
2024-06-05,PROD-1001,2689.64,Portland
2024-06-05,PROD-1003,1598.56,Minneapolis
2024-06-06,PROD-1005,2456.79,Austin
2024-06-06,PROD-1002,1823.68,Seattle
2024-06-07,PROD-1002,2612.85,Las Vegas
2024-06-07,PROD-1001,1645.93,San Antonio
2024-06-08,PROD-1003,2389.74,Boston
2024-06-08,PROD-1005,1867.39,Phoenix
2024-06-09,PROD-1002,2734.86,Chicago
2024-06-09,PROD-1002,1523.67,San Diego
2024-06-10,PROD-1001,2198.79,Los Angeles
2024-06-10,PROD-1003,1879.45,Atlanta
2024-06-11,PROD-1005,2567.91,Miami
2024-06-11,PROD-1002,1734.58,Dallas
2024-06-12,PROD-1002,2423.82,New York
2024-06-12,PROD-1001,1645.69,San Jose
2024-06-13,PROD-1003,2789.63,Seattle
2024-06-13,PROD-1005,1534.78,Denver
2024-06-14,PROD-1002,2134.87,Houston
2024-06-14,PROD-1002,1912.46,Chicago
2024-06-15,PROD-1001,2689.58,Philadelphia
2024-06-15,PROD-1003,1598.72,Detroit
2024-06-16,PROD-1005,2456.83,Boston
2024-06-16,PROD-1002,1823.54,Portland
2024-06-17,PROD-1002,2612.76,Minneapolis
2024-06-17,PROD-1001,1645.89,Los Angeles
2024-06-18,PROD-1003,2389.67,Austin
2024-06-18,PROD-1005,1867.43,Las Vegas
2024-06-19,PROD-1002,2734.94,Miami
2024-06-19,PROD-1002,1523.68,San Antonio
2024-06-20,PROD-1001,2198.85,New York
2024-06-20,PROD-1003,1879.37,Phoenix
2024-06-21,PROD-1005,2567.84,Chicago
2024-06-21,PROD-1002,1734.69,San Diego
2024-06-22,PROD-1002,2423.78,Seattle
2024-06-22,PROD-1001,1645.92,Atlanta
2024-06-23,PROD-1003,2789.65,Boston
2024-06-23,PROD-1005,1534.76,San Jose
2024-06-24,PROD-1002,2134.89,Dallas
2024-06-24,PROD-1002,1912.43,Los Angeles
2024-06-25,PROD-1001,2689.57,Denver
2024-06-25,PROD-1003,1598.68,Miami
2024-06-26,PROD-1005,2456.91,Houston
2024-06-26,PROD-1002,1823.56,Chicago
2024-06-27,PROD-1002,2612.83,Philadelphia
2024-06-27,PROD-1001,1645.74,Detroit
2024-06-28,PROD-1003,2389.69,New York
2024-06-28,PROD-1005,1867.38,Portland
2024-06-29,PROD-1002,2734.92,Minneapolis
2024-06-29,PROD-1002,1523.79,Austin
2024-06-30,PROD-1001,2198.67,Seattle
2024-06-30,PROD-1003,1879.46,Las Vegas
2024-07-01,PROD-1005,2567.82,San Antonio
2024-07-01,PROD-1002,1734.58,Boston
2024-07-02,PROD-1002,2423.95,Phoenix
2024-07-02,PROD-1001,1645.68,Chicago
2024-07-03,PROD-1003,2789.56,San Diego
2024-07-03,PROD-1005,1534.83,Los Angeles
2024-07-04,PROD-1002,2134.92,Atlanta
2024-07-04,PROD-1002,1912.47,Miami
2024-07-05,PROD-1001,2689.64,San Jose
2024-07-05,PROD-1003,1598.56,Dallas
2024-07-06,PROD-1005,2456.79,New York
2024-07-06,PROD-1002,1823.68,Seattle
2024-07-07,PROD-1002,2612.85,Denver
2024-07-07,PROD-1001,1645.93,Houston
2024-07-08,PROD-1003,2389.74,Chicago
2024-07-08,PROD-1005,1867.39,Philadelphia
2024-07-09,PROD-1002,2734.86,Detroit
2024-07-09,PROD-1002,1523.67,Boston
2024-07-10,PROD-1001,2198.79,Portland
2024-07-10,PROD-1003,1879.45,Minneapolis
2024-07-11,PROD-1005,2567.91,Los Angeles
2024-07-11,PROD-1002,1734.58,Austin
2024-07-12,PROD-1002,2423.82,Las Vegas
2024-07-12,PROD-1001,1645.69,Miami
2024-07-13,PROD-1003,2789.63,San Antonio
2024-07-13,PROD-1005,1534.78,New York
2024-07-14,PROD-1002,2134.87,Phoenix
2024-07-14,PROD-1002,1912.46,Chicago
2024-07-15,PROD-1001,2689.58,San Diego
2024-07-15,PROD-1003,1598.72,Seattle
2024-07-16,PROD-1005,2456.83,Atlanta
2024-07-16,PROD-1002,1823.54,Boston
2024-07-17,PROD-1002,2612.76,San Jose
2024-07-17,PROD-1001,1645.89,Dallas
2024-07-18,PROD-1003,2389.67,Los Angeles
2024-07-18,PROD-1005,1867.43,Denver
2024-07-19,PROD-1002,2734.94,Miami
2024-07-19,PROD-1002,1523.68,Houston
2024-07-20,PROD-1001,2198.85,Chicago
2024-07-20,PROD-1003,1879.37,Philadelphia
2024-07-21,PROD-1005,2567.84,Detroit
2024-07-21,PROD-1001,1734.69,New York
2024-07-22,PROD-1002,2423.78,Portland
2024-07-22,PROD-1001,1645.92,Minneapolis
2024-07-23,PROD-1003,2789.65,Austin
2024-07-23,PROD-1005,1534.76,Seattle
2024-07-24,PROD-1001,2134.89,Las Vegas
2024-07-24,PROD-1002,1912.43,San Antonio
2024-07-25,PROD-1001,2689.57,Boston
2024-07-25,PROD-1003,1598.68,Phoenix
2024-07-26,PROD-1005,2456.91,Chicago
2024-07-26,PROD-1001,1823.56,San Diego
2024-07-27,PROD-1002,2612.83,Los Angeles
2024-07-27,PROD-1001,1645.74,Atlanta
2024-07-28,PROD-1003,2389.69,Miami
2024-07-28,PROD-1005,1867.38,San Jose
2024-07-29,PROD-1001,2734.92,Dallas
2024-07-29,PROD-1002,1523.79,New York
2024-07-30,PROD-1001,2198.67,Seattle
2024-07-30,PROD-1003,1879.46,Denver
2024-07-31,PROD-1005,2567.82,Houston
2024-07-31,PROD-1001,1734.58,Chicago
2024-08-01,PROD-1002,2423.95,Philadelphia
2024-08-01,PROD-1001,1645.68,Detroit
2024-08-02,PROD-1003,2789.56,Boston
2024-08-02,PROD-1005,1534.83,Portland
2024-08-03,PROD-1001,2134.92,Minneapolis
2024-08-03,PROD-1002,1912.47,Los Angeles
2024-08-04,PROD-1001,2689.64,Austin
2024-08-04,PROD-1003,1598.56,Las Vegas
2024-08-05,PROD-1005,2456.79,Miami
2024-08-05,PROD-1001,1823.68,San Antonio
2024-08-06,PROD-1002,2612.85,New York
2024-08-06,PROD-1001,1645.93,Phoenix
2024-08-07,PROD-1003,2389.74,Chicago
2024-08-07,PROD-1005,1867.39,San Diego
2024-08-08,PROD-1001,2734.86,Seattle
2024-08-08,PROD-1002,1523.67,Atlanta
2024-08-09,PROD-1001,2198.79,Boston
2024-08-09,PROD-1003,1879.45,San Jose
2024-08-10,PROD-1005,2567.91,Dallas
2024-08-10,PROD-1001,1734.58,Los Angeles
2024-08-11,PROD-1002,2423.82,Denver
2024-08-11,PROD-1001,1645.69,Miami
2024-08-12,PROD-1003,2789.63,Houston
2024-08-12,PROD-1005,1534.78,Chicago
2024-08-13,PROD-1001,2134.87,Philadelphia
2024-08-13,PROD-1002,1912.46,Detroit
2024-08-14,PROD-1001,2689.58,New York
2024-08-14,PROD-1003,1598.72,Portland
2024-08-15,PROD-1005,2456.83,Minneapolis
2024-08-15,PROD-1001,1823.54,Austin
2024-08-16,PROD-1002,2612.76,Seattle
2024-08-16,PROD-1001,1645.89,Las Vegas
2024-08-17,PROD-1003,2389.67,San Antonio
2024-08-17,PROD-1005,1867.43,Boston
2024-08-18,PROD-1001,2734.94,Phoenix
2024-08-18,PROD-1002,1523.68,Chicago
2024-08-19,PROD-1001,2198.85,San Diego
2024-08-19,PROD-1003,1879.37,Los Angeles
2024-08-20,PROD-1005,2567.84,Atlanta
2024-08-20,PROD-1001,1734.69,Miami
2024-08-21,PROD-1002,2423.78,San Jose
2024-08-21,PROD-1001,1645.92,Dallas
2024-08-22,PROD-1003,2789.65,New York
2024-08-22,PROD-1005,1534.76,Seattle
2024-08-23,PROD-1001,2134.89,Denver
2024-08-23,PROD-1002,1912.43,Houston
2024-08-24,PROD-1001,2689.57,Chicago
2024-08-24,PROD-1003,1598.68,Philadelphia
2024-08-25,PROD-1005,2456.91,Detroit
2024-08-25,PROD-1001,1823.56,Boston
2024-08-26,PROD-1002,2612.83,Portland
2024-08-26,PROD-1001,1645.74,Minneapolis
2024-08-27,PROD-1003,2389.69,Los Angeles
2024-08-27,PROD-1005,1867.38,Austin
2024-08-28,PROD-1001,2734.92,Las Vegas
2024-08-28,PROD-1002,1523.79,Miami
2024-08-29,PROD-1001,2198.67,San Antonio
2024-08-29,PROD-1003,1879.46,New York
2024-08-30,PROD-1005,2567.82,Phoenix
2024-08-30,PROD-1001,1734.58,Chicago
2024-08-31,PROD-1002,2423.95,San Diego
2024-08-31,PROD-1001,1645.68,Seattle
2024-09-01,PROD-1003,2789.56,Atlanta
2024-09-01,PROD-1005,1534.83,Boston
2024-09-02,PROD-1001,2134.92,San Jose
2024-09-02,PROD-1002,1912.47,Dallas
2024-09-03,PROD-1001,2689.64,Los Angeles
2024-09-03,PROD-1003,1598.56,Denver
2024-09-04,PROD-1005,2456.79,Miami
2024-09-04,PROD-1001,1823.68,Houston
2024-09-05,PROD-1002,2612.85,Chicago
2024-09-05,PROD-1001,1645.93,Philadelphia
2024-09-06,PROD-1003,2389.74,Detroit
2024-09-06,PROD-1005,1867.39,New York
2024-09-07,PROD-1001,2734.86,Portland
2024-09-07,PROD-1002,1523.67,Minneapolis
2024-09-08,PROD-1001,2198.79,Austin
2024-09-08,PROD-1003,1879.45,Seattle
2024-09-09,PROD-1005,2567.91,Las Vegas
2024-09-09,PROD-1001,1734.58,San Antonio
2024-09-10,PROD-1002,2423.82,Boston
2024-09-10,PROD-1001,1645.69,Phoenix
2024-09-11,PROD-1003,2789.63,Chicago
2024-09-11,PROD-1005,1534.78,San Diego
2024-09-12,PROD-1001,2134.87,Los Angeles
2024-09-12,PROD-1002,1912.46,Atlanta
2024-09-13,PROD-1001,2689.58,Miami
2024-09-13,PROD-1003,1598.72,San Jose
2024-09-14,PROD-1005,2456.83,Dallas
2024-09-14,PROD-1001,1823.54,New York
2024-09-15,PROD-1002,2612.76,Seattle
2024-09-15,PROD-1001,1645.89,Denver
2024-09-16,PROD-1003,2389.67,Houston
2024-09-16,PROD-1005,1867.43,Chicago
2024-09-17,PROD-1001,2734.94,Philadelphia
2024-09-17,PROD-1002,1523.68,Detroit
2024-09-18,PROD-1001,2198.85,Boston
2024-09-18,PROD-1003,1879.37,Portland
2024-09-19,PROD-1005,2567.84,Minneapolis
2024-09-19,PROD-1001,1734.69,Los Angeles
2024-09-20,PROD-1002,2423.78,Austin
2024-09-20,PROD-1001,1645.92,Las Vegas
2024-09-21,PROD-1003,2789.65,Miami
2024-09-21,PROD-1005,1534.76,San Antonio
2024-09-22,PROD-1003,2134.89,New York
2024-09-22,PROD-1002,1912.43,Phoenix
2024-09-23,PROD-1001,2689.57,Chicago
2024-09-23,PROD-1003,1598.68,San Diego
2024-09-24,PROD-1005,2456.91,Seattle
2024-09-24,PROD-1003,1823.56,Atlanta
2024-09-25,PROD-1002,2612.83,Boston
2024-09-25,PROD-1001,1645.74,San Jose
2024-09-26,PROD-1003,2389.69,Dallas
2024-09-26,PROD-1005,1867.38,Los Angeles
2024-09-27,PROD-1003,2734.92,Denver
2024-09-27,PROD-1002,1523.79,Miami
2024-09-28,PROD-1001,2198.67,Houston
2024-09-28,PROD-1003,1879.46,Chicago
2024-09-29,PROD-1005,2567.82,Philadelphia
2024-09-29,PROD-1003,1734.58,Detroit
2024-09-30,PROD-1002,2423.95,New York
2024-09-30,PROD-1001,1645.68,Portland
2024-10-01,PROD-1003,2789.56,Minneapolis
2024-10-01,PROD-1005,1534.83,Austin
2024-10-02,PROD-1003,2134.92,Seattle
2024-10-02,PROD-1002,1912.47,Las Vegas
2024-10-03,PROD-1001,2689.64,San Antonio
2024-10-03,PROD-1003,1598.56,Boston
2024-10-04,PROD-1005,2456.79,Phoenix
2024-10-04,PROD-1003,1823.68,Chicago
2024-10-05,PROD-1002,2612.85,San Diego
2024-10-05,PROD-1001,1645.93,Los Angeles
2024-10-06,PROD-1003,2389.74,Atlanta
2024-10-06,PROD-1005,1867.39,Miami
2024-10-07,PROD-1003,2734.86,San Jose
2024-10-07,PROD-1002,1523.67,Dallas
2024-10-08,PROD-1001,2198.79,New York
2024-10-08,PROD-1003,1879.45,Seattle
2024-10-09,PROD-1005,2567.91,Denver
2024-10-09,PROD-1003,1734.58,Houston
2024-10-10,PROD-1002,2423.82,Chicago
2024-10-10,PROD-1001,1645.69,Philadelphia
2024-10-11,PROD-1003,2789.63,Detroit
2024-10-11,PROD-1005,1534.78,Boston
2024-10-12,PROD-1003,2134.87,Portland
2024-10-12,PROD-1002,1912.46,Minneapolis
2024-10-13,PROD-1001,2689.58,Los Angeles
2024-10-13,PROD-1003,1598.72,Austin
2024-10-14,PROD-1005,2456.83,Las Vegas
2024-10-14,PROD-1003,1823.54,Miami
2024-10-15,PROD-1002,2612.76,San Antonio
2024-10-15,PROD-1001,1645.89,New York
